,propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
423,16632600000000.0,78702,324499,305271,283018,285926,200022
424,16602200000000.0,78702,297174,286244,279841,237367,144343
425,16632600000000.0,78702,393148,372335,350063,356315,273628
426,16632600000000.0,78702,356061,336984,301642,242500,261277
427,14594100000000.0,78702,275000,200000,200000,196522,131002
428,16602200000000.0,78702,475712,471179,444607,387055,251235
429,5089420000000.0,78702,275000,324824,292822,276614,196400
430,16632600000000.0,78702,982000,758420,200002,278770,181072
431,16515400000000.0,78702,469303,446852,423118,367231,243115
432,16515400000000.0,78702,408731,380717,375526,324094,205396
433,16515400000000.0,78702,394791,417047,396178,342812,201605
434,4766860000000.0,78702,398893,372016,350000,287372,188387
435,3461820000000.0,78702,588185,265323,200000,291394,225987
436,16632700000000.0,78702,261418,241920,217000,248227,171330
437,16632600000000.0,78702,313000,335348,313300,318902,237273
438,16632600000000.0,78702,443776,428075,406142,351844,274062
439,16515400000000.0,78702,458924,450582,376339,334896,236291
440,16632700000000.0,78702,472342,466679,441042,383476,222060
441,1159070000000.0,78702,435882,448461,361807,295028,221936
442,16632700000000.0,78702,490522,450037,425000,373783,255319
443,16515400000000.0,78702,376594,337289,324089,277473,192173
444,4769610000000.0,78702,529588,526876,490532,426705,234929
445,3367440000000.0,78702,369998,336115,335300,336818,200000
446,4149020000000.0,78702,383188,359103,335300,341113,267447
447,14612200000000.0,78702,359346,340639,320322,326083,225072
448,4463990000000.0,78702,328848,303260,288590,227359,200000
449,16602200000000.0,78702,314585,253493,249524,212789,130161
450,16632600000000.0,78702,375537,335861,325774,279000,178588
451,4784680000000.0,78702,361140,342642,322259,328090,253097
452,3562810000000.0,78702,394112,360962,327480,280546,184580
453,16707200000000.0,78702,319267,319764,300000,267466,169882
454,14757800000000.0,78702,361036,342528,322149,327974,236484
455,16515400000000.0,78702,363165,319142,276356,234208,204306
456,3556190000000.0,78702,430828,410579,390334,337515,208639
457,16515400000000.0,78702,467729,472673,417027,361710,237063
458,16515400000000.0,78702,1196553,765824,317072,271112,172376
