propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.66326E+13,78702,375537,335861,325774,279000,178588
4.78468E+12,78702,361140,342642,322259,328090,253097
3.56281E+12,78702,394112,360962,327480,280546,184580
1.67072E+13,78702,319267,319764,300000,267466,169882
1.47578E+13,78702,361036,342528,322149,327974,236484
1.65154E+13,78702,363165,319142,276356,234208,204306
3.55619E+12,78702,430828,410579,390334,337515,208639
1.65154E+13,78702,467729,472673,417027,361710,237063
1.65154E+13,78702,1196553,765824,317072,271112,172376
1.46122E+13,78702,328500,308358,294308,312193,241822
4.46051E+12,78702,409656,381968,364474,314077,194403
4.46686E+12,78702,417631,362744,339715,294076,164931
1.66022E+13,78702,378909,340418,326916,280035,170615
1.46122E+13,78702,350867,336079,323923,330733,237217
4.15721E+12,78702,392149,352670,332166,287235,180671
1.50589E+13,78702,412034,385181,367376,316707,230326
3.39214E+12,78702,579385,729218,517534,467493,333301
1.66326E+13,78702,353012,331574,309700,315168,250618
1.66326E+13,78702,356113,337043,316844,322475,232823
4.75811E+12,78702,439253,366865,363897,324115,217745
1.66022E+13,78702,360470,315500,304394,259621,186412
1.66022E+13,78702,561154,589142,509600,277064,168220
3.55572E+12,78702,404149,374525,357746,307978,228845
2.77728E+12,78702,459395,556238,401741,353946,233991
1.44807E+12,78702,414851,400613,303500,287571,182543
1.66022E+13,78702,277611,289339,271134,237613,216926
1.67072E+13,78702,430266,373041,351004,275788,162864
1.66787E+13,78702,266410,240623,233772,255423,165331
1.66022E+13,78702,344311,263663,254656,216981,148077
1.66022E+13,78702,417534,348178,341403,291538,286243
1.46122E+13,78702,319677,358747,339972,325415,233777
1.66022E+13,78702,288669,218471,217096,180496,124332
1.66326E+13,78702,350075,334531,310584,314173,256805
1.66022E+13,78702,392751,359123,343825,295360,190175
3.5422E+12,78702,303124,279140,223163,238046,111500
3.39125E+12,78702,440130,465799,396236,351940,240994
1.67072E+13,78702,389918,355295,340135,292016,179086
1.67072E+13,78702,414274,388208,370109,319184,204422
1.66022E+13,78702,332893,278234,270714,229094,139428
4.76434E+12,78702,475750,552540,557521,487770,358653
1.45091E+13,78702,820775,699208,574382,456196,187064
3.42401E+12,78702,612715,628899,510000,492445,341410
4.15023E+12,78702,666059,644885,488718,443354,276889
